pluralism,n. 多元主义；多元性
prop,v. 支撑；n. 支撑物
culminate,v. 告终
trivial,adj. 琐碎的，不重要的
ward,n. 病房，受监护人
disposition,n. 性情，性格，意向
havoc,n. 灾祸，灾害
haunt,n. 常去的地方；v. 鬼魂出没，使苦恼，使担忧，缠绕
malignant,adj. 恶性的，恶意的
incumbent,adj. 在职的，现任的，有责任的；n. 在职者
psychiatry,n. 精神病学，精神病治疗
malpractice,n. 玩忽职守，不法行为，治疗不当
parole,n. 假释，言语；v. 假释，有条件的释放
apt,adj. 易于... 的，有 倾向的，适宜的，反应灵敏的
eccentric,n. 古怪的人；adj. 古怪的，怪癖的
solicit,v. 请求，索求
hitherto,adv. 到目前为止，迄今
reshuffle,v. 岗位调整；n. 人事调整
complacent,adj. 自满的，得意的
wholesome,adj. 有益于健康的
compile,v. 编制，编译
emulate,v. 同 竞争，努力赶上，向 看齐，模仿
judiciary,n. 审判人员，司法部门
tack,n. 平头钉；v. 附加，增补
bilateral,adj. 双方的，对称的，两边的
asylum,n. 庇护，避难，精神病院
boycott,n./v. 联合抵制，拒绝参与
regiment,n. 团，大量；v. 严格管制，严密编组
brood,n. 一窝，所有孩子；v. 沉思，考虑，孵蛋
discreet,adj. 谨慎的，慎重的
militia,n. 民兵组织，国民卫队
retaliate,v. 报复，反击
knit,v. 编织，结合，愈合
stitch,n. 一针，线迹，针法；v. 编，绣
coup,n. 政变，极难获得的成就
shorthand,n. 速记法，速记
subsidiary,n. 子公司，附属机构；adj. 辅助的，次要的
verdict,n. 裁定，定论，判断性意见
bewilder,v. 使迷惑，使难住
jurisdiction,n. 管辖权，司法权，审判权，管辖区域
poultry,n. 家禽
antagonism,n. 对抗情绪，敌对，敌意
waive,v. 放弃
trifle,n. 琐事，小事
curfew,n. 宵禁令，宵禁时间
peddle,v. 挨户销售，兜售，宣传
epoch,n. 时期，时代
cram,v. 挤满，塞满，临时死记硬背
uphold,v. 支持，维护
layman,n. 门外汉，外行
resultant,adj. 作为结果发生的
referendum,n. 全民投票
corrode,v. 腐蚀，侵蚀
atrocity,n. 残暴行为尤指战争中
cordial,adj. 热情友好的
turnout,n. 出席人数，到场人数
retention,n. 保留，保持
prune,v. 修剪，删除
exposition,n. 阐述，讲解
brigade,n. 旅，伙，帮，派
depreciate,v. 贬低，轻视
multilateral,adj. 多边的，多国的，有多个部分的
intermittent,adj. 间歇的，断断续续的
overpass,n. 天桥
tanker,n. 油轮
analogue,n. 相似物；adj. 模拟的
stationery,n. 文具，信纸
detain,v. 扣留，留住
timid,adj. 羞怯的，胆小的
intercourse,n. 交流，交往
